address,decimals,lastTradeUnixTime,liquidity,logoURI,mc,name,symbol,v24hChangePercent,v24hUSD
EwmypSpsQk77ifmfy28ra1aN31ybxqWP3pcF7dYLps5y,6,1712018158.0,66206.3564453516,https://img.fotofolio.xyz/?url=https%3A%2F%2Fgateway.irys.xyz%2Fy2eXwvbcJtGqHXUhGwLe1tfbgwHacf1SvRgTMVA3jnA,295891.61959656887,tincatcoin,TIN,-75.15290398902036,1852.2456322777134
q44HnFacxUsEyY2ytQuKhtezT5pLAyttzPTUfs252ob,9,1712005935.0,773.4214624562595,,295882.1387866931,WeNeedCZback,WNCZ,6871.238910839442,1.5668836093935243
JAQG1kY6qGTmDtbL9hjHERxGnm7fwVp1n4Ecefez1bYz,9,1712019502.0,575742.9517710542,https://img.fotofolio.xyz/?url=https%3A%2F%2Fbafkreiee3cqfuuojjvp6fmp7av45fxbokpnc25qzezmjxlymkjofx3hs2i.ipfs.nftstorage.link,294993.63436203724,Bibi on SOL,$BIBI,-95.40855467821945,2425.2148952281223
AsktR1RW2CBUur42FAzJecMmx73XuQUB7STNPiCjesKb,9,1712022154.0,11000.833942827467,https://img.fotofolio.xyz/?url=https%3A%2F%2Fipfs.io%2Fipfs%2FQmQDV2gmvuzPXn6oicakkwvFueA9sob8hb121oiT3eGAbg,294333.6844788657,DistractedBoyf,BOYF,134.49544073678018,114732.93637474158
DkYUdfekaw6ZadPqzAMqLUfNog2B9DZUNT8yPuVKytnZ,9,1711980175.0,0.0,https://bafkreigkq7ndlb6pbmqb42abmlfihj6o3ixdt7py4646ja654rgj36ui7y.ipfs.nftstorage.link,293971.088575425,,,,0.1967960434635199
GPzvszRyF6Dr3EwiQMokd7d8mKWykfv8SCWrB9hQjb6y,9,1712023576.0,54197.99702669284,https://img.fotofolio.xyz/?url=https%3A%2F%2Fipfs.io%2Fipfs%2FQmT3uFdfATzQH4thu4EsGGffQLx3NxziDeM9rESE9FwTmf,293290.484043931,Cecil The Lion,CECIL,-76.26520631510775,6797.436281965491
6wdbFQAxDVwUdJrZEnnzgPzsZ1NruvLhf9qCvmSD5DLX,6,1712021711.0,135801.15638964143,https://img.fotofolio.xyz/?url=https%3A%2F%2Fipfs.io%2Fipfs%2FQmWPQHhRAgsztGEME1TCauuGeyeo7ZhAHY1ShJTx5no9NF,292743.24985591124,NEKO,NEKO,-24.660903060576448,80971.97236169502
6VNKqgz9hk7zRShTFdg5AnkfKwZUcojzwAkzxSH3bnUm,9,1712002077.0,2868.7761358597845,https://img.fotofolio.xyz/?url=https%3A%2F%2Fraw.githubusercontent.com%2Fsolana-labs%2Ftoken-list%2Fmain%2Fassets%2Fmainnet%2F6VNKqgz9hk7zRShTFdg5AnkfKwZUcojzwAkzxSH3bnUm%2Flogo.png,292701.52145105775,Wrapped HAPI,wHAPI,-51.01889260663609,118.40251699999999
3Cbeq3CNJgxKdT17v8dhRfVFLXyuvPY95Zt6jXXjUkiM,6,1711991093.0,1672.3588537956139,https://img.fotofolio.xyz/?url=https%3A%2F%2Fbafkreicrupdje6zz2fmhwwwpm4xuof4dl6fxhdf7eytm4lk2w5d7rut5wm.ipfs.nftstorage.link,292565.0538132816,Efferium,EFFERIUM,,2.6687573379521687
6hBry7w55A3NXDAXxjKqrx3oXfAatNkAJUSGt66ZRsZk,6,1712020851.0,215728.10118660142,https://img.fotofolio.xyz/?url=https%3A%2F%2Fbafkreieur42wdbsrrlglcz6kp55kruavaxisd25o42fnydemcvp5qulf2i.ipfs.nftstorage.link,292260.00415071327,Sandy,SANDY,0.6531832214459599,2055.396252874056
FunEaVysxMdrCvyspzZx9onqUG1o9ghj65mpzybAD4AU,6,1712023401.0,64621.4737863731,https://img.fotofolio.xyz/?url=https%3A%2F%2Fbafkreicem5elevaxqdsh3sprhuddot2xubjbm7ucd3van3ena3sszffjty.ipfs.nftstorage.link,292109.87463225704,VINE,VINE,-37.14461574558165,12793.444630981016
2bdyMUC4FZRQBxoVnWbZ6KxW5JE1whzhBo632ZpkdGLS,9,1712021777.0,28983.72870385228,https://img.fotofolio.xyz/?url=https%3A%2F%2Fbafybeiei7ams25bqhlwihynokze5pf2kff3gky67jcb26epwnslzb6hpzi.ipfs.nftstorage.link,291935.46612950077,Block Bounce,Bounce,991.1263622525199,123907.35410651677
58UC31xFjDJhv1NnBF73mtxcsxN92SWjhYRzbfmvDREJ,6,1712023717.0,103384.55472285542,https://img.fotofolio.xyz/?url=https%3A%2F%2Fbafkreifeca3dywn4p43ucvzq5r6xf6swijbpbpa4zl5by3kvduzbhovypy.ipfs.nftstorage.link,291545.2478555897,HODL,HODL,-77.21081971812221,2758.793570950784
9gr84rGyLvVasmqXvj65njjUgKyBemKWSJsvijTPmcQz,9,1712021191.0,107.87011850693067,https://img.fotofolio.xyz/?url=https%3A%2F%2Fbafybeifjnoxnugstzszyj5wukzoiqvhtqocwpwfv55uqfvqjegq2bha7sm.ipfs.nftstorage.link,290970.8615416153,potato,POTATO,-78.7642806965861,139715.6291050537
9mV4WUukVsva5wYcYW4veo34CNDiF44sh3Ji65JNdvh5,8,1712022157.0,218693.477962693,,290965.45241127064,Elephant Money Stable (Wormhole),TRUNK,-55.869157552375,7091.357173974984
ARzhbvqp2F5kE2rcSLdrecYmxG6Gu87ntNazx99UvPKt,9,1711974583.0,0.0,https://imgur.fotofolio.xyz/?url=https%3A%2F%2Fi.imgur.com%2FgfHyXwq.png,290964.9197568468,HOPCAT,HOPCAT,-96.37407490103544,0.04157543698555226
H7Qc9APCWWGDVxGD5fJHmLTmdEgT9GFatAKFNg6sHh8A,9,1712021066.0,16178.903189559916,https://img.fotofolio.xyz/?url=https%3A%2F%2Foogi.com%2Ficon.png,290480.2686792649,OOGI,OOGI,-74.11551118769549,3690.7792280569224
SoLW9muuNQmEAoBws7CWfYQnXRXMVEG12cQhy6LE2Zf,9,1712012252.0,13763.834735703738,https://img.fotofolio.xyz/?url=https%3A%2F%2Farweave.net%2FGe3yd9dtBrUiMhowuk6Pv6-ie-vryJUFN6e6XrEugj8%3Fext%3Dpng,290351.10726883955,Amulet Staked SOL (amtSOL),amtSOL,-90.69524495196403,22.55525335814119
92duWsgrsVxVCqiyufSXD4yXPAj17C7bKnTP6Mv8iYya,9,1711999953.0,0.0,https://img.fotofolio.xyz/?url=https%3A%2F%2Ftinybeecards.com%2Fcdn%2Fshop%2Fproducts%2Fil_fullxfull.5102169923_6bye_1024x1024.jpg%3Fv%3D1688433001,289743.1086548106,CatBonk,Chonk,,0.17255212812839987
7zsyKPseRpEsEpiK6ZdhTMqUtVVWuX6vs3uWTgWU1kkZ,6,1712004087.0,0.0,https://img.fotofolio.xyz/?url=https%3A%2F%2Fbafkreihvxebzjgx4j6rgjdsd3shsogqmv77exibauld5wr2sb7cebk3v5e.ipfs.nftstorage.link,289672.40640786383,mferWIF,$mferWIF,-77.39021681367161,1.063370673195226
6Y7LbYB3tfGBG6CSkyssoxdtHb77AEMTRVXe8JUJRwZ7,6,1712018255.0,31048.837388045475,https://img.fotofolio.xyz/?url=https%3A%2F%2Fraw.githubusercontent.com%2Fsolana-labs%2Ftoken-list%2Fmain%2Fassets%2Fmainnet%2F6Y7LbYB3tfGBG6CSkyssoxdtHb77AEMTRVXe8JUJRwZ7%2Flogo.png,289524.9116942938,DINO,DINO,344.272154238534,5755.155861354635
9V4x6ikFm9XKsnh3TiYJWPwQfFkJZDjifu7VSUqg3es1,9,1712023559.0,28248.257081393465,,289225.66800326295,,,51.12471419059273,4097.667265219847
3sBG8KNChFEdg47i3mL82CKQc2hbRxqqhUagnuyDm1uG,9,1711960998.0,0.0,https://img.fotofolio.xyz/?url=https%3A%2F%2Fbafkreifkx3ffzglty24oqvuapry47iutw7afjsj37zj2pahionpxfxfi2i.ipfs.nftstorage.link,288975.0757665153,CrunchyCat,CRUNCHY,-99.99326011578312,0.000742982397016935
